question,answer
Which African nation is famous for chocolate?,Ghana
How many primary colors are there?,"Three (red, yellow, blue)"
Which is the 4th planet of our solar system?,Mars
Which animal wags its tail and lives in a kennel?,Dog
Name the smallest Ocean.,Arctic Ocean
How many years is a decade?,Ten
Who wrote ‘Ramayana’?,Valmiki
Mumbai is the capital of India. True or False?,False (Delhi is the capital of India)
Hematite is the ore of which metal?,Iron
Which number comes after 10?,11
How many millimeters are there in 1cm?,10
How many planets are there in our solar system?,8
A polygon with 5 sides is called a _________.,Pentagon
Whom do we call to put out fire?,Fireman
The National Tree of India is?,Banyan Tree
 The longest river in India,Ganga
What is the home of a lion called?,Den
Measurement of right angle is ___________.,90˚
Global warming is caused by the excess of which type of gas?,Carbon dioxide
Which animal is known as the “ship of the desert”?,Camel
What was the real name of Lord Buddha?,Siddhartha Gautama
Beriberi disease is caused by the deficiency of _________,Vitamin B
"When a number is multiplied by 1, the product would be ________.",The Same Number
Name the marine animal known as “sea cow”?,Manatees
How do plants make food?,Plants make food through the process called Photosynthesis.
Where is Spratly Islands located?,South China Sea
What is the full form of URL?,Uniform Resource Locator
The leaves of a tree fall during which season?,Autumn
"Which lake is situated in the border of countries, Peru and Bolivia?",Lake Titicaca
Olympic Games are held every ____ years.,4
How many strings does a violin have?,4
Which bird is known for its intelligence?,Owl
Name the main gases present in the Sun?,Hydrogen and Helium
Plaster of Paris is made of ____?,Gypsum
Who is known as the father of Indian nuclear program?,Homi J Bhabha
Name the largest planet in our solar system,Jupiter
The book “The Very Hungry Caterpillar” was written by _________.,Eric Carle
A person who goes to space is called an ________.,Astronaut
What is the currency of Bangladesh?,Taka
Dipa Karmakar is associated with which sport?,Gymnastics
How many seconds are there in an hour?,3600
Mt. Vesuvius is located in which country?,Italy
Which month of the year has the least number of days?,February
Which Vitamin helps to heal the wound,Vitamin C
"Dinosaur, Elephant, Hippopotamus, Giraffe",Dinosaur
Name the currency of Thailand?,Bhat
The term “wicket” is related to which sport?,Cricket
Who is the inventor of the electric Bulb?,Thomas Alva Edison
What is the place where animals are kept called?,Zoo
Name the largest temple in the World.,Angkor Wat
How many continents do we have?,Seven
What is the Color of the Leaves?,B. Green
Which is the mineral found in teeth and limestones?,Calcium
What is the full form of MBBS?,Bachelor of Medicine and Bachelor of Surgery
How many decimal points are there in a number?,One
Fourth Buddhist council held during the reign of which emperor?,Kanishka
 Which is the harvest festival in Assam?,Bohag Bihu 
How many colors are there in a rainbow?,7
Which Indian city is known as “Orange City”?,Nagpur
The atomic number of Iron (Fe) is _____.,26
An octopus has _____ hearts.,Three
Cataract is the disease of _.,Eye
Who is the first Prime Minister of India? a) P.J. Abdul Kalaam b) Jawaharlal Nehru c) Indira Gandhi d) Narendra Modi,B. Jawaharlal Nehru
When is National Girl Child Day celebrated in India?,January 24
What is the main source of energy produced through photosynthesis in plants?,Glucose
Name the capital of Romania?,Bucharest
Earth Day celebrated on?,April 22nd
Who invented steam engine?,James Watt
Who invented radio?,Guglielmo Marconi
World’s largest rain forest is _________.,The Amazon
_____ is known as the brain of the computer.,CPU
Which gas is commonly found in our universe?,Hydrogen
How many kidneys does a human body have?,2
How many moons does Earth have?,1
World Red Cross Day is celebrated on ________.,May 8th
Which is the largest desert in the world?,Sahara Desert
Who invented airplanes?,Wright brothers (Orville Wright and Wilbur Wright)
Eden Gardens cricket stadium is in –,Calcutta
During which year did World War I begin?,1914
"Radio, Television, Loudspeaker, Stereo",Television
 What is the sound made by a horse?,Neigh
 Who is popularly known as the “Iron Man of India”?,Sardar Vallabh Bhai Patel 
How many bones do we have?,206
How many years make a decade?,10
Which is the smallest three-digit number?,1000
"Hammer, Blacksmith, Carpenter, Cobbler",Hammer
Who invented postage stamp?,Rowland Hill
Where is Louvre Museum situated?,"Paris, France"
Name the bird that lays the largest eggs?,Ostrich
What is a triangle with two equal sides called?,Isosceles triangle
For which event did Neeraj Chopra win a gold medal at the 2020 Tokyo Olympics?,Javelin throw
Name the acid in lemon.,Citric acid
 The young one of Elephant is,Calf
In which country is Mount Everest situated?,Nepal
Oscar award is related to which field?,Film industry
Which metal is used to make the filament of an electric bulb?,Tungsten
What is the driver of a Train called? a) Pilot b) Train Driver c) Locopilot d) Captain,C. Locopilot
Which city is known as the “Financial Capital of India”?,Mumbai
 Which is the national fruit of India?,Mango
Who was known as “Human Computer”?,Shakuntala Devi
The distance travelled by light in one year is called _______,Light Year
Which is the hardest substance available on earth?,Diamond
Which is the largest three-digit number?,999
What is the color of the sky?,Blue
Who wrote the popular children’s book “The Cat in The Hat”?,Dr. Suess
Which planet has the biggest known volcano in our solar system?,Mars
Which is the coldest location in the earth?,East Antarctica
"Ball, Bat, Stump, Hockey stick. True or False?",Hockey stick
Which only metal in liquid form at room temperature?,Mercury
Which was the first animal to go to space?,Dog
"Doctor, Surgeon, Nurse, Teacher",Teacher
Which is the biggest continent? a)Asia b) Africa c) Australia d) Europe,A. Asia
Who was the first man to walk on the moon?,Neil Armstrong
Which is the gas absorbed by plants?,Carbon Dioxide
What is the full form of TV?,Television
Identify the bird,Peacock
The largest moon of Saturn is ________.,Titan
What are constellations? a) Group of planets b) Group of galaxies c) Group of stars d) Group of meteors,C. Group of stars
The animal with a hump on its back is _?,Camel
